query,is_gap,method,company_uuid,prop1_list,graph_match_count,kg_row_count,summary,judge_label
What is State Bank of India's ticker symbol and on which exchange(s) does it trade?,True,summary_fallback,a512c753-67dc-4353-9004-6e74f5b5d709,[],0,1,The retrieved facts do not cover State Bank of India's ticker symbol or the exchange(s) on which it trades.,Not relevant
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of State Bank of India?",False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['GovernanceRole', 'HOLDS_ROLE']",1,1,"The current Chairman and top executive of State Bank of India is C S Setty, as of August 1, 2024.",Relevant
"What percentage of State Bank of India is held by its government promoter or largest shareholder, and as of what date?",False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['OWNS', 'REGULATED_BY', 'OwnershipStake', 'HELD_BY', 'OWNS_STAKE_IN']",8,8,"The Government of India, serving as the majority owner and largest shareholder, holds a 55.03% stake in State Bank of India as of 31 March 2026.",Relevant
What was State Bank of India's CASA ratio in the most recently reported quarter?,False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,"State Bank of India recorded a CASA ratio of 39.24% in the June 2026 quarter. During this same period, the bank also reported total deposits of ₹60.06 trillion.",Relevant
What is State Bank of India's net interest margin (NIM) for the latest reported period?,False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,State Bank of India has a domestic net interest margin of 3.00%. The provided facts do not specify the net interest margin for the latest reported period beyond this domestic figure.,Somewhat relevant
What are State Bank of India's gross NPA and net NPA ratios?,False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,"State Bank of India recorded a gross NPA ratio of 1.47% in the June 2026 quarter. Additionally, the bank reported a net NPA ratio of 0.38% for the same period.",Relevant
"What is State Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,"State Bank of India maintained a capital adequacy ratio (CRAR) of 15.67% in the June 2026 quarter. However, the retrieved facts do not disclose the specific CET1 ratio figure, noting only that it is comfortably above the regulatory minimum of 8.80%.",Somewhat relevant
What are State Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,"State Bank of India reported a return on assets of 1.11% for the June 2026 quarter. During the same period, the bank recorded a return on equity of 17.87%.",Relevant
What was State Bank of India's total advances (loan book) and deposit growth in the latest quarter?,False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['HAS_METRIC', 'MetricObservation']",12,12,"In the June 2026 quarter, State Bank of India recorded total deposits of ₹60.06 trillion, representing a 9.73% year-on-year increase. However, the retrieved facts do not cover the total advances or loan book growth.",Somewhat relevant
"What credit ratings has State Bank of India received, and from which rating agencies?",False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,['HAS_RATING'],3,3,"State Bank of India has historically received long-term issuer and deposit ratings in the Baa2 and Baa3 ranges from Moody's, as well as the BBB- range from S&P and Fitch.",Relevant
"Roughly how many branches and ATMs does State Bank of India operate, and as of what date?",False,summary_fallback,a512c753-67dc-4353-9004-6e74f5b5d709,[],0,1,"State Bank of India operates roughly 22,500 branches and roughly 65,000 ATMs. The retrieved facts do not cover the specific date as of which these figures apply.",Somewhat relevant
"What products and services does State Bank of India offer, and which customer segments does it serve?",False,graph_check,a512c753-67dc-4353-9004-6e74f5b5d709,"['OFFERS_PRODUCT', 'SERVES']",9,9,"State Bank of India offers credit cards and debit cards to its clientele. It serves a diverse range of customer segments, including retail mass-market customers, High Net Worth Individuals, the NRI community, MSMEs, large corporates, institutional clients, and government clients.",Somewhat relevant
