source,target,source_name,target_name,source_type,target_type,edge_type
E_HORMUZ,M_BRENT,Strait of Hormuz disruption,Brent crude price,EVENT,MACRO_VAR,CAUSES
M_BRENT,M_CPI,Brent crude price,India CPI,MACRO_VAR,MACRO_VAR,CAUSES
M_CPI,M_REPO,India CPI,RBI policy rate,MACRO_VAR,MACRO_VAR,CAUSES
M_REPO,C_ANANTRAJ,RBI policy rate,Anant Raj,MACRO_VAR,COMPANY,HURT_BY
S_REALESTATE,C_ANANTRAJ,Real Estate & REITs,Anant Raj,SECTOR,COMPANY,CONTAINS
S_REALESTATE,C_LODHA,Real Estate & REITs,Macrotech Developers,SECTOR,COMPANY,CONTAINS
C_LODHA,CN_LAND,Macrotech Developers,Infra-ready land,COMPANY,CONSTRAINT,BENEFITS_FROM
C_ANANTRAJ,CN_LAND,Anant Raj,Infra-ready land,COMPANY,CONSTRAINT,BENEFITS_FROM
C_ANANTRAJ,E_AIBUILD,Anant Raj,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
C_RIL,E_AIBUILD,Reliance Industries,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
C_RIL,E_HORMUZ,Reliance Industries,Strait of Hormuz disruption,COMPANY,EVENT,HEDGES
E_HORMUZ,M_GRM,Strait of Hormuz disruption,Gross refining margin,EVENT,MACRO_VAR,CAUSES
C_ADANIPORTS,E_AIBUILD,Adani Ports & SEZ,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
C_ADANIPORTS,E_HORMUZ,Adani Ports & SEZ,Strait of Hormuz disruption,COMPANY,EVENT,HURT_BY
E_HORMUZ,E_AIBUILD,Strait of Hormuz disruption,India AI infrastructure capex cycle,EVENT,EVENT,HURT_BY
C_MRPL,E_HORMUZ,Mangalore Refinery,Strait of Hormuz disruption,COMPANY,EVENT,HURT_BY
C_MRPL,M_GRM,Mangalore Refinery,Gross refining margin,COMPANY,MACRO_VAR,BENEFITS_FROM
M_WARRISK,E_AIBUILD,Marine war-risk premium,India AI infrastructure capex cycle,MACRO_VAR,EVENT,HURT_BY
E_HORMUZ,M_WARRISK,Strait of Hormuz disruption,Marine war-risk premium,EVENT,MACRO_VAR,CAUSES
E_AIBUILD,CN_LAND,India AI infrastructure capex cycle,Infra-ready land,EVENT,CONSTRAINT,CONSTRAINED_BY
CU_HYPERSCALER,E_AIBUILD,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",India AI infrastructure capex cycle,CUSTOMER,EVENT,CAUSES
CU_HYPERSCALER,C_RIL,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",Reliance Industries,CUSTOMER,COMPANY,CUSTOMER_OF
S_OILGAS,C_RIL,Oil & Gas,Reliance Industries,SECTOR,COMPANY,CONTAINS
S_OILGAS,C_IOC,Oil & Gas,Indian Oil,SECTOR,COMPANY,CONTAINS
C_IOC,M_GRM,Indian Oil,Gross refining margin,COMPANY,MACRO_VAR,BENEFITS_FROM
S_OILGAS,C_MRPL,Oil & Gas,Mangalore Refinery,SECTOR,COMPANY,CONTAINS
S_OILGAS,C_CPCL,Oil & Gas,Chennai Petroleum,SECTOR,COMPANY,CONTAINS
C_CPCL,M_GRM,Chennai Petroleum,Gross refining margin,COMPANY,MACRO_VAR,BENEFITS_FROM
E_HORMUZ,M_LPG_SAUDI_CP,Strait of Hormuz disruption,Saudi LPG contract price,EVENT,MACRO_VAR,CAUSES
C_IOC,M_LPG_SAUDI_CP,Indian Oil,Saudi LPG contract price,COMPANY,MACRO_VAR,HURT_BY
T_GENAI,E_AIBUILD,Generative AI,India AI infrastructure capex cycle,TECHNOLOGY,EVENT,CAUSES
C_INDUSTOWER,T_GENAI,Indus Towers,Generative AI,COMPANY,TECHNOLOGY,BENEFITS_FROM
S_TELECOM,C_INDUSTOWER,Telecom & Connectivity,Indus Towers,SECTOR,COMPANY,CONTAINS
S_TELECOM,C_TATACOMM,Telecom & Connectivity,Tata Communications,SECTOR,COMPANY,CONTAINS
C_TATACOMM,E_AIBUILD,Tata Communications,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
C_TCS,T_GENAI,Tata Consultancy Services,Generative AI,COMPANY,TECHNOLOGY,HEDGES
C_TCS,M_INR,Tata Consultancy Services,USD/INR,COMPANY,MACRO_VAR,BENEFITS_FROM
C_FEDERALBNK,M_INR,Federal Bank,USD/INR,COMPANY,MACRO_VAR,BENEFITS_FROM
C_FEDERALBNK,E_HORMUZ,Federal Bank,Strait of Hormuz disruption,COMPANY,EVENT,HEDGES
C_INDIGO,M_INR,InterGlobe Aviation,USD/INR,COMPANY,MACRO_VAR,HURT_BY
C_INDIGO,E_AIBUILD,InterGlobe Aviation,India AI infrastructure capex cycle,COMPANY,EVENT,BENEFITS_FROM
C_INFY,T_GENAI,Infosys,Generative AI,COMPANY,TECHNOLOGY,HEDGES
C_INFY,M_INR,Infosys,USD/INR,COMPANY,MACRO_VAR,BENEFITS_FROM
S_OILGAS,C_ONGC,Oil & Gas,Oil & Natural Gas Corp,SECTOR,COMPANY,CONTAINS
C_ONGC,RM_CRUDE,Oil & Natural Gas Corp,Crude oil,COMPANY,RAW_MATERIAL,PRODUCES
C_IOC,RM_CRUDE,Indian Oil,Crude oil,COMPANY,RAW_MATERIAL,NEEDS
C_ONGC,C_MRPL,Oil & Natural Gas Corp,Mangalore Refinery,COMPANY,COMPANY,OWNS
S_OILGAS,C_GAIL,Oil & Gas,GAIL (India),SECTOR,COMPANY,CONTAINS
C_GAIL,E_HORMUZ,GAIL (India),Strait of Hormuz disruption,COMPANY,EVENT,HEDGES
S_OILGAS,C_BPCL,Oil & Gas,Bharat Petroleum,SECTOR,COMPANY,CONTAINS
C_BPCL,M_LPG_SAUDI_CP,Bharat Petroleum,Saudi LPG contract price,COMPANY,MACRO_VAR,HURT_BY
S_OILGAS,C_HPCL,Oil & Gas,Hindustan Petroleum,SECTOR,COMPANY,CONTAINS
