source,target,source_name,target_name,source_type,target_type,text,edge_type
0,12,Strait of Hormuz disruption,Brent crude price,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Brent crude price,CAUSES
0,13,Strait of Hormuz disruption,Spot LNG / JKM,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Spot LNG / JKM,CAUSES
0,14,Strait of Hormuz disruption,Saudi LPG contract price,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Saudi LPG contract price,CAUSES
0,15,Strait of Hormuz disruption,Gross refining margin,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Gross refining margin,CAUSES
0,16,Strait of Hormuz disruption,Tanker freight rates,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Tanker freight rates,CAUSES
0,17,Strait of Hormuz disruption,Marine war-risk premium,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Marine war-risk premium,CAUSES
0,22,Strait of Hormuz disruption,Global urea/DAP/sulphur price,EVENT,MACRO_VAR,Strait of Hormuz disruption causes Global urea/DAP/sulphur price,CAUSES
0,1,Strait of Hormuz disruption,India AI infrastructure capex cycle,EVENT,EVENT,Strait of Hormuz disruption hurt by India AI infrastructure capex cycle,HURT_BY
1,79,India AI infrastructure capex cycle,Power availability,EVENT,CONSTRAINT,India AI infrastructure capex cycle constrained by Power availability,CONSTRAINED_BY
1,80,India AI infrastructure capex cycle,Transmission evacuation capacity,EVENT,CONSTRAINT,India AI infrastructure capex cycle constrained by Transmission evacuation capacity,CONSTRAINED_BY
1,82,India AI infrastructure capex cycle,Water availability,EVENT,CONSTRAINT,India AI infrastructure capex cycle constrained by Water availability,CONSTRAINED_BY
1,83,India AI infrastructure capex cycle,GPU supply,EVENT,CONSTRAINT,India AI infrastructure capex cycle constrained by GPU supply,CONSTRAINED_BY
1,86,India AI infrastructure capex cycle,Infra-ready land,EVENT,CONSTRAINT,India AI infrastructure capex cycle constrained by Infra-ready land,CONSTRAINED_BY
3,2,India,Strait of Hormuz,GEOGRAPHY,GEOGRAPHY,India imports via Strait of Hormuz,IMPORTS_VIA
8,2,Cape of Good Hope reroute,Strait of Hormuz,GEOGRAPHY,GEOGRAPHY,Cape of Good Hope reroute substitutes for Strait of Hormuz,SUBSTITUTES_FOR
9,4,Kerala,Gulf producers,GEOGRAPHY,GEOGRAPHY,Kerala exposed to orderbook Gulf producers,EXPOSED_TO_ORDERBOOK
12,19,Brent crude price,India CPI,MACRO_VAR,MACRO_VAR,Brent crude price causes India CPI,CAUSES
12,20,Brent crude price,Current account deficit,MACRO_VAR,MACRO_VAR,Brent crude price causes Current account deficit,CAUSES
14,23,Saudi LPG contract price,Fertiliser and LPG subsidy bill,MACRO_VAR,MACRO_VAR,Saudi LPG contract price causes Fertiliser and LPG subsidy bill,CAUSES
17,1,Marine war-risk premium,India AI infrastructure capex cycle,MACRO_VAR,EVENT,Marine war-risk premium hurt by India AI infrastructure capex cycle,HURT_BY
18,19,USD/INR,India CPI,MACRO_VAR,MACRO_VAR,USD/INR causes India CPI,CAUSES
18,309,USD/INR,Netweb Technologies,MACRO_VAR,COMPANY,USD/INR hurt by Netweb Technologies,HURT_BY
19,21,India CPI,RBI policy rate,MACRO_VAR,MACRO_VAR,India CPI causes RBI policy rate,CAUSES
20,18,Current account deficit,USD/INR,MACRO_VAR,MACRO_VAR,Current account deficit causes USD/INR,CAUSES
21,279,RBI policy rate,Anant Raj,MACRO_VAR,COMPANY,RBI policy rate hurt by Anant Raj,HURT_BY
21,339,RBI policy rate,Adani Green Energy,MACRO_VAR,COMPANY,RBI policy rate hurt by Adani Green Energy,HURT_BY
