query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,triplet_slots,cypher_strategy,kg_row_count,kg_hop_path,summary,error
What is transit exposure of sulphur via UAE?,F_Simple,F_Simple,0.591804158970364,simple_triplet,True,"[""sulphur"", ""UAE""]","[{""entity"": ""sulphur"", ""matched_node_name"": ""Sulphur"", ""matched_id"": ""RM_SULPHUR"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""UAE"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}]",What is transit exposure of <RAW_MATERIAL> via <GEOGRAPHY>?,"{""nnp2"": ""G_GCC"", ""nnp1"": ""RM_SULPHUR""}","{""nnp1"": ""RM_SULPHUR"", ""nnp2"": ""G_GCC"", ""nnp3"": null, ""prop1"": ""TRANSITS"", ""nn1"": ""RAW_MATERIAL"", ""nn2"": ""GEOGRAPHY"", ""threshold"": null}",transit_broad,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: Sulphur -[TRANSITS]-> Strait of Hormuz",,
How does government intervention affect Telecom & Connectivity?,F_Simple,F_Simple,0.5180234389303554,simple_triplet,True,"[""Telecom & Connectivity"", ""government intervention""]","[{""entity"": ""Telecom & Connectivity"", ""matched_node_name"": ""Telecom & Connectivity"", ""matched_id"": ""S_TELECOM"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""government intervention"", ""matched_node_name"": ""Fertiliser and LPG subsidy bill"", ""matched_id"": ""M_SUBSIDY"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <MACRO_VAR> affect <SECTOR>?,"{""prop1"": ""REGULATED_BY"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_TELECOM""}","{""nnp1"": ""S_TELECOM"", ""nnp2"": ""M_SUBSIDY"", ""nnp3"": null, ""prop1"": ""REGULATED_BY"", ""nn1"": ""SECTOR"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",single_entity,7,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Telecom & Connectivity | company_name=Bharti Airtel
Row 2: sector_name=Telecom & Connectivity | company_name=Tata Communications | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 3: sector_name=Telecom & Connectivity | company_name=RailTel Corporation
Row 4: sector_name=Telecom & Connectivity | company_name=Sterlite Technologies
Row 5: sector_name=Telecom & Connectivity | company_name=HFCL
Row 6: sector_name=Telecom & Connectivity | company_name=Tejas Networks
Row 7: sector_name=Telecom & Connectivity | company_name=Indus Towers | relationship=BENEFITS_FROM | object_name=Generative AI | object_type=TECHNOLOGY",,
Trace the path from Oman to Federal Bank via marine war-risk premium.,F_Simple,F_Simple,0.5224411336752844,simple_triplet,True,"[""Oman"", ""Federal Bank"", ""marine war-risk premium""]","[{""entity"": ""Oman"", ""matched_node_name"": ""Oman"", ""matched_id"": ""G_OMAN"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Federal Bank"", ""matched_node_name"": ""Federal Bank"", ""matched_id"": ""C_FEDERALBNK"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""marine war-risk premium"", ""matched_node_name"": ""Marine war-risk premium"", ""matched_id"": ""M_WARRISK"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Trace the path from <GEOGRAPHY> to <COMPANY> via <MACRO_VAR>.,"{""nnp2"": ""C_FEDERALBNK"", ""nnp1"": ""G_OMAN""}","{""nnp1"": ""G_OMAN"", ""nnp2"": ""C_FEDERALBNK"", ""nnp3"": null, ""prop1"": ""CAUSES"", ""nn1"": ""GEOGRAPHY"", ""nn2"": ""COMPANY"", ""threshold"": null}",path_trace,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Oman -> Federal Bank (7 hops)
  Oman -[SOURCED_FROM]-> Urea
  Urea -[TRANSITS]-> Strait of Hormuz
  Strait of Hormuz -[TRANSITS]-> Sulphur
  Sulphur -[SOURCED_FROM]-> Gulf producers
  Gulf producers -[EXPOSED_TO_ORDERBOOK]-> Larsen & Toubro
  Larsen & Toubro -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> Federal Bank",,
Explain hedging strategy of InterGlobe Aviation for bond yields.,F_Simple,F_Simple,0.5003900017445428,simple_triplet,True,"[""InterGlobe Aviation"", ""Aviation"", ""bond yields""]","[{""entity"": ""InterGlobe Aviation"", ""matched_node_name"": ""InterGlobe Aviation"", ""matched_id"": ""C_INDIGO"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Aviation"", ""matched_node_name"": ""Aviation"", ""matched_id"": ""S_AVIATION"", ""matched_type"": ""SECTOR"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""bond yields"", ""matched_node_name"": ""RBI policy rate"", ""matched_id"": ""M_REPO"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Explain hedging strategy of <COMPANY> for <MACRO_VAR>.,"{""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_INDIGO""}","{""nnp1"": ""C_INDIGO"", ""nnp2"": ""S_AVIATION"", ""nnp3"": null, ""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nn2"": ""SECTOR"", ""threshold"": null}",single_entity,4,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=InterGlobe Aviation | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 2: company_name=InterGlobe Aviation | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 3: company_name=InterGlobe Aviation | relationship=HURT_BY | object_name=USD/INR | object_type=MACRO_VAR
Row 4: company_name=InterGlobe Aviation | relationship=NEEDS | object_name=Aviation turbine fuel | object_type=PRODUCT",,
Name beneficiaries in Aviation from oil supply shock.,F_Simple,F_Simple,0.5845028718305838,simple_triplet,True,"[""Aviation"", ""oil supply shock""]","[{""entity"": ""Aviation"", ""matched_node_name"": ""Aviation"", ""matched_id"": ""S_AVIATION"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""oil supply shock"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Name beneficiaries in <SECTOR> from <EVENT>.,"{""nnp2"": ""E_HORMUZ"", ""nnp1"": ""S_AVIATION""}","{""nnp1"": ""S_AVIATION"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""BENEFITS_FROM"", ""nn1"": ""SECTOR"", ""nn2"": ""EVENT"", ""threshold"": null}",beneficiary_paths,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Aviation -> InterGlobe Aviation (1 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
Path 2: Aviation -> SpiceJet (1 hops)
  Aviation -[CONTAINS]-> SpiceJet
Path 3: Aviation -> PCBL (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> PCBL
Path 4: Aviation -> Tata Power (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Tata Power
Path 5: Aviation -> Asian Paints (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> Asian Paints
Path 6: Aviation -> MRF (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> MRF
Path 7: Aviation -> Indraprastha Gas (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Indraprastha Gas
Path 8: Aviation -> Reliance Industries (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Reliance Industries
Path 9: Aviation -> Adani Enterprises (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Adani Enterprises
Path 10: Aviation -> Techno Electric & Engineering (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Techno Electric & Engineering
Path 11: Aviation -> Transport Corp of India (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> Transport Corp of India
Path 12: Aviation -> SpiceJet (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> SpiceJet
Path 13: Aviation -> Berger Paints (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> Berger Paints
Path 14: Aviation -> Indigo Paints (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[HURT_BY]-> Indigo Paints
Path 15: Aviation -> Adani Green Energy (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Adani Green Energy
Path 16: Aviation -> Balrampur Chini (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Balrampur Chini
Path 17: Aviation -> Oil & Natural Gas Corp (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Oil & Natural Gas Corp
Path 18: Aviation -> Oil India (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Oil India
Path 19: Aviation -> Adani Ports & SEZ (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Adani Ports & SEZ
Path 20: Aviation -> State Bank of India (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> State Bank of India
Path 21: Aviation -> Tata Communications (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Tata Communications
Path 22: Aviation -> Anant Raj (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Anant Raj
Path 23: Aviation -> Indian Energy Exchange (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[BENEFITS_FROM]-> India AI infrastructure capex cycle
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Indian Energy Exchange
Path 24: Aviation -> Olectra Greentech (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Olectra Greentech
Path 25: Aviation -> Tata Motors (3 hops)
  Aviation -[CONTAINS]-> InterGlobe Aviation
  InterGlobe Aviation -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Tata Motors",,
How does Gulf producers chokepoint impact Indian energy imports?,F_Simple,F_Simple,0.6605337429768102,simple_triplet,True,"[""Gulf producers"", ""India"", ""Gulf producers chokepoint""]","[{""entity"": ""Gulf producers"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Gulf producers chokepoint"", ""matched_node_name"": ""Strait of Hormuz"", ""matched_id"": ""G_HORMUZ"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <GEOGRAPHY> impact <GEOGRAPHY>n energy imports?,"{""prop1"": ""HURT_BY"", ""nn1"": ""GEOGRAPHY"", ""nnp1"": ""G_INDIA""}","{""nnp1"": ""G_INDIA"", ""nnp2"": ""G_GCC"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""GEOGRAPHY"", ""nn2"": ""GEOGRAPHY"", ""threshold"": null}",,0,,,
Stress test Shriram Finance for prolonged geopolitical escalation.,F_Simple,F_Simple,0.480402315761712,simple_triplet,True,"[""Shriram Finance"", ""geopolitical escalation""]","[{""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Stress test <COMPANY> for prolonged <EVENT>.,"{""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_SHRIRAMFIN""}","{""nnp1"": ""C_SHRIRAMFIN"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""CAUSES"", ""nn1"": ""COMPANY"", ""nn2"": ""EVENT"", ""threshold"": null}",propagation_open,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Shriram Finance -> Banks & NBFCs (1 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
Path 2: Shriram Finance -> Brent crude price (1 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
Path 3: Shriram Finance -> Oil India (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Oil India
Path 4: Shriram Finance -> REC Ltd (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> REC Ltd
Path 5: Shriram Finance -> Strait of Hormuz disruption (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[CAUSES]-> Strait of Hormuz disruption
Path 6: Shriram Finance -> Oil & Natural Gas Corp (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Oil & Natural Gas Corp
Path 7: Shriram Finance -> ICICI Lombard (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> ICICI Lombard
Path 8: Shriram Finance -> Bajaj Finance (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Bajaj Finance
Path 9: Shriram Finance -> State Bank of India (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> State Bank of India
Path 10: Shriram Finance -> IREDA (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> IREDA
Path 11: Shriram Finance -> Current account deficit (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[CAUSES]-> Current account deficit
Path 12: Shriram Finance -> CSB Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> CSB Bank
Path 13: Shriram Finance -> Dhanlaxmi Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Dhanlaxmi Bank
Path 14: Shriram Finance -> GIC Re (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> GIC Re
Path 15: Shriram Finance -> Muthoot Finance (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Muthoot Finance
Path 16: Shriram Finance -> HDFC Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> HDFC Bank
Path 17: Shriram Finance -> Manappuram Finance (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Manappuram Finance
Path 18: Shriram Finance -> Power Finance Corporation (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Power Finance Corporation
Path 19: Shriram Finance -> India CPI (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[CAUSES]-> India CPI
Path 20: Shriram Finance -> AU Small Finance Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> AU Small Finance Bank
Path 21: Shriram Finance -> Federal Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Federal Bank
Path 22: Shriram Finance -> Cholamandalam Investment (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> Cholamandalam Investment
Path 23: Shriram Finance -> South Indian Bank (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> South Indian Bank
Path 24: Shriram Finance -> New India Assurance (2 hops)
  Shriram Finance -[CONTAINS]-> Banks & NBFCs
  Banks & NBFCs -[CONTAINS]-> New India Assurance
Path 25: Shriram Finance -> Indraprastha Gas (2 hops)
  Shriram Finance -[HURT_BY]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Indraprastha Gas",,
How does oil supply shock affect Voltamp Transformers share price?,F_Simple,F_Simple,0.6042890669512243,simple_triplet,True,"[""Voltamp Transformers"", ""oil supply shock""]","[{""entity"": ""Voltamp Transformers"", ""matched_node_name"": ""Voltamp Transformers"", ""matched_id"": ""C_VOLTAMP"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""oil supply shock"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <EVENT> affect <COMPANY> share price?,"{""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_VOLTAMP""}","{""nnp1"": ""C_VOLTAMP"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nn2"": ""EVENT"", ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Voltamp Transformers | relationship=CONSTRAINED_BY | object_name=CRGO electrical steel imports | object_type=CONSTRAINT",,
What protects Cochin Shipyard margins from naphtha spikes?,F_Simple,F_Simple,0.6388994443411777,simple_triplet,True,"[""Cochin Shipyard"", ""naphtha""]","[{""entity"": ""Cochin Shipyard"", ""matched_node_name"": ""Cochin Shipyard"", ""matched_id"": ""C_COCHINSHIP"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""naphtha"", ""matched_node_name"": ""Naphtha"", ""matched_id"": ""RM_NAPHTHA"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What protects <COMPANY> margins from <RAW_MATERIAL> spikes?,"{""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_COCHINSHIP""}","{""nnp1"": ""C_COCHINSHIP"", ""nnp2"": ""RM_NAPHTHA"", ""nnp3"": null, ""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nn2"": ""RAW_MATERIAL"", ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Cochin Shipyard | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT",,
Which regulations constrain NTPC margins?,F_Simple,F_Simple,0.5729287304179321,simple_triplet,True,"[""NTPC""]","[{""entity"": ""NTPC"", ""matched_node_name"": ""NTPC"", ""matched_id"": ""C_NTPC"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which regulations constrain <COMPANY> margins?,"{""prop1"": ""REGULATED_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_NTPC""}","{""nnp1"": ""C_NTPC"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""REGULATED_BY"", ""nn1"": ""COMPANY"", ""nn2"": null, ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=NTPC | relationship=BENEFITS_FROM | object_name=Spot LNG / JKM | object_type=MACRO_VAR",,
