index,query,summary,label,rationale
0,What is State Bank of India's ticker symbol and on which exchange(s) does it trade?,"**Summary of Knowledge Graph:**

1. **Starting and Ending Entities:** The starting entity is **State Bank of India (SBI)**, and the ending entities are its various financial metrics, ownership stakes, operational networks, and key competitors.
2. **Business/Financial Explanation:** The knowledge graph outlines SBI's massive financial scale as India's largest bank, highlighting its strong low-cost funding base (CASA ratio), extensive physical and digital distribution network, and robust capital adequacy. It also captures key risk factors, regulatory oversight, and major stakeholders like the Government of India and institutional investors. 
3. **Important Numerical Facts:** SBI operates roughly 22,500 branches and 65,000 ATMs, reported a CASA ratio of 39.24% in the June 2026 quarter, and maintains a capital adequacy ratio of 15.67% alongside advances growing to ₹42.76 trillion by Q1 FY27. Additionally, the Government of India holds a majority ownership stake of 55.03% in the bank.",Not relevant,"Summary omits the ticker symbol and exchange entirely, covering unrelated financial metrics instead."
1,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of State Bank of India?","Based on the knowledge graph path, the starting entity is C S Setty and the ending entity is State Bank of India. C S Setty holds the top executive role of Chairman at the State Bank of India.",Relevant,Directly names C S Setty as the top executive (Chairman) of SBI as asked.
2,"What percentage of State Bank of India is held by its government promoter or largest shareholder, and as of what date?","**Summary:**

1. **Starting and Ending Entities:** The starting entity is **State Bank of India (SBI)**, and the ending entities consist of its various financial metrics, operational data, ownership structures, and regulatory relationships.
2. **Business/Financial Explanation:** The knowledge graph details the core financial standing, operational scale, and governance of the State Bank of India. It highlights SBI's massive nationwide footprint (including approximately 22,500 branches and 65,000 ATMs), its funding base driven by a strong CASA ratio, its technology and digital strategies via Finacle and the YONO platform, and its key risks such as asset quality and corporate loan exposure.
3. **Important Numerical Facts:** Key figures include a CASA ratio of 39.24% (June 2026 quarter), total advances growing to ₹42.76 trillion (Q1 FY27), a capital adequacy ratio of 15.67%, a cost-to-income ratio of 46.71%, a majority government ownership stake of 55.03%, and a vast physical network of roughly 22,500 branches and 65,000 ATMs.",Somewhat relevant,Gives the government's 55.03% stake but never states the date it applies to.
3,What was State Bank of India's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is State Bank of India and the ending entity is its domestic loan book. In the June 2026 quarter, State Bank of India expanded this loan book to ₹42.76 trillion, representing an 18.15% year-on-year increase.",Not relevant,Answers with domestic loan book growth instead of the CASA ratio that was asked.
4,What is State Bank of India's net interest margin (NIM) for the latest reported period?,"Based on the provided knowledge graph data, the starting entity is **State Bank of India (SBI)** and the ending entities include its various financial metrics, ownership stakes, and operational characteristics (such as its major stakeholders, credit ratings, and performance indicators). 

The graph outlines State Bank of India's robust financial profile, highlighting key figures such as a 39.24% CASA ratio and advances growing to ₹42.76 trillion by the end of Q1 FY27. It also captures the bank's governance and ownership structure, noting that the Government of India is the majority owner with a 55.03% stake, alongside institutional backing from entities like LIC (8.70%). Finally, the data details SBI's operational scale—including roughly 22,500 branches and 65,000 ATMs—as well as its regulatory oversight and credit ratings from major agencies like Moody's, S&P, and Fitch.",Not relevant,"Never mentions NIM; covers CASA ratio, advances and ownership instead."
5,What are State Bank of India's gross NPA and net NPA ratios?,"Based on the provided knowledge graph data, the starting entity is **State Bank of India** and the ending entity is its various financial metrics and operational assets (such as **advances of ₹42.76 trillion** and a **capital adequacy ratio of 15.67%** as of Q1 FY27). 

State Bank of India operates as a major universal bank backed by a majority government stake of 55.03% and extensive infrastructure, including roughly 22,500 branches and 65,000 ATMs. Financially, the bank maintains a solid position with a CASA ratio of 39.24% and a cost-to-income ratio of 46.71% as of the June 2026 quarter, while navigating key risks like corporate and unsecured retail loan exposure.",Not relevant,Does not give gross or net NPA figures at all.
6,"What is State Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Based on the provided knowledge graph data, the starting entity is **State Bank of India (SBI)** and the ending entities are its various financial metrics, ownership stakes, and operational features. 

State Bank of India is majority-owned by the Government of India with a **55.03%** stake, while maintaining a strong capital adequacy ratio of **15.67%** and advances growing to **₹42.76 trillion** by the end of Q1 FY27. The bank operates via a massive distribution network of roughly **22,500 branches** and **65,000 ATMs**, anchored by a low-cost CASA ratio of **39.24%** recorded in the June 2026 quarter. Additionally, it faces key risks primarily driven by asset quality and corporate loan exposure, while maintaining long-term issuer ratings in the **BBB-** and **Baa2/Baa3** ranges from agencies like S&P, Fitch, and Moody's.",Relevant,Directly provides the capital adequacy ratio (15.67%) that was asked.
7,What are State Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Based on the provided knowledge graph data, here is the summary of the relationship path:

1. **Starting and Ending Entities:** The starting entity is **State Bank of India (SBI)**, and the ending entities are its various financial metrics, operational scale, and key stakeholders (such as the Government of India and major institutional investors).

2. **Business/Financial Explanation:** The graph outlines State Bank of India as a dominant universal bank under government ownership, driven by a massive branch and ATM network, proprietary digital platforms like YONO, and core Finacle technology. Financially, the bank maintains robust capital adequacy and low-cost funding via a strong CASA ratio, though it manages key risk drivers such as asset quality and large corporate loan exposure.

3. **Numerical Facts:** Key metrics include a majority government ownership stake of **55.03%**, a CASA ratio of **39.24%** (June 2026), advances reaching **₹42.76 trillion** (Q1 FY27), a capital adequacy ratio of **15.67%**, and a vast physical footprint comprising roughly **22,500 branches** and **65,000 ATMs**.",Not relevant,Does not mention ROA or ROE anywhere in the summary.
8,What was State Bank of India's total advances (loan book) and deposit growth in the latest quarter?,"Based on the provided knowledge graph, the starting entity is **State Bank of India (SBI)** and the ending entities are its various financial metrics, operational scale, and key stakeholders. 

State Bank of India is a majority government-owned institution (55.03% stake) and the largest bank in India by assets, operating a vast network that includes approximately 22,500 branches and 65,000 ATMs. Financially, the bank reported advances growing to ₹42.76 trillion, a strong CASA ratio of 39.24%, and a comfortable capital adequacy ratio of 15.67% as of the June 2026 quarter. It maintains investment-grade credit ratings in the BBB- and Baa2/Baa3 ranges from major agencies such as S&P, Fitch, and Moody's, while being primarily regulated by the Reserve Bank of India.",Somewhat relevant,Gives an advances figure but no explicit growth rate and omits deposit growth entirely.
9,"What credit ratings has State Bank of India received, and from which rating agencies?","Based on the provided knowledge graph path, the starting entity is **State Bank of India** and the ending entities are major credit rating agencies (**S&P, Fitch, and Moody's**). 

The path shows that State Bank of India holds historical long-term issuer and deposit ratings in the BBB- range from S&P and Fitch, as well as the Baa2/Baa3 range from Moody's. These ratings reflect the bank's historical creditworthiness as assessed by these global agencies.",Relevant,"Names S&P, Fitch and Moody's along with SBI's rating levels as requested."
10,"Roughly how many branches and ATMs does State Bank of India operate, and as of what date?","1. **Starting and Ending Entities:** The starting entity is State Bank of India, and the ending entity is its distribution and ATM network.
2. **Business/Financial Summary:** State Bank of India maintains an extensive physical presence across India to serve its customer base. 
3. **Numerical Facts:** The bank leverages roughly 22,500 branches (the largest in India) and operates approximately 65,000 ATMs nationwide.",Somewhat relevant,Gives branch and ATM counts but omits the as-of date requested.
11,"What products and services does State Bank of India offer, and which customer segments does it serve?","1. **Starting entity:** State Bank of India; **Ending entity:** Customers (Retail banking products/Cards).
2. State Bank of India offers both credit cards and debit cards directly to its customers as part of its retail banking product lineup. 
3. This retail relationship enables individual customers to access essential payment and banking products directly through the bank.",Somewhat relevant,"Only mentions cards, missing the broader product/service and segment picture requested."
12,What is Bank of Baroda's ticker symbol and on which exchange(s) does it trade?,"1. **Starting and Ending Entities:** The starting entity is **Bank of Baroda**, and the ending entities are its financial performance metrics and credit ratings evaluated by **ICRA**.

2. **Simple Business/Financial Language:** Bank of Baroda is a public sector universal bank that relies on a mix of low-cost CASA balances, bulk deposits, and bond programmes for funding. In Q1 FY27, the bank experienced shifts in its funding base and a temporary drop in net profit due to a legal settlement, while maintaining solid asset quality and capital adequacy.

3. **Important Numerical Facts:** 
   - In Q1 FY27, Bank of Baroda's global deposits reached ₹16,33,559 crore (up 13.8%) and domestic deposits hit ₹13,81,535 crore (up 14.7%).
   - Net profit fell 72% year-on-year to ₹1,278 crore due to a one-off legal settlement, impacting the return on assets to 0.25% (or 1.10% excluding the hit).
   - Asset quality improved, with the gross NPA ratio dropping to 1.99% and the net NPA ratio standing at 0.50%, alongside a standalone capital adequacy ratio of 16.30%.",Not relevant,Does not state Bank of Baroda's ticker or exchange listing.
13,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of Baroda?","Based on the knowledge graph path, the starting entity is **Bank of Baroda** and the ending entities include various organizational attributes such as its status as a **Public Sector Bank** in **India**. Bank of Baroda is a publicly listed universal bank on the NSE and BSE under the ticker **BANKBARODA**, operating as a Government of India-owned institution. Headquartered in Vadodara, Gujarat, the bank extends its banking sector operations across **24 countries**.",Not relevant,"Discusses ticker, ownership and geography instead of naming the CEO/Chairman."
14,"What percentage of Bank of Baroda is held by its government promoter or largest shareholder, and as of what date?","Based on the knowledge graph data, here is the summary of the relationship path:

**1. Starting and Ending Entities:**
* **Starting Entity:** Bank of Baroda
* **Ending Entities:** Various financial metrics, regulatory bodies (RBI, SEBI), credit rating agencies (ICRA), and operational outputs for Q1 FY27.

**2. Simple Business/Financial Summary:**
The knowledge graph outlines the operational, financial, and regulatory profile of Bank of Baroda during Q1 FY27. It highlights the bank's funding structure—notably its reliance on deposits, certificates of deposit, and a ₹10,000 crore green infrastructure bond programme—alongside its regulatory oversight by the RBI and SEBI, and credit ratings by ICRA. 

**3. Important Numerical Facts:**
In Q1 FY27, Bank of Baroda reported global deposits of ₹16,33,559 crore (up 13.8%) and domestic deposits of ₹13,81,535 crore (up 14.7%), while its CASA ratio moderated to 37.72%. The bank achieved a net interest income of ₹12,524 crore (a 9.5% increase), though its net profit fell 72% year-on-year to ₹,1278 crore due to a one-off legal settlement, resulting in a return on assets of 0.25% and a return on equity of 3.89%. Additionally, asset quality improved with a gross NPA ratio of 1.99% and a net NPA of 0.50%.",Not relevant,"Never states the government's ownership percentage or a date, despite that being the question."
15,What was Bank of Baroda's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is Bank of Baroda and the ending entity is wealth management services. Bank of Baroda directly provides wealth management services to its clients. This relationship highlights the bank's active involvement in the financial services sector.",Not relevant,"Answers about wealth management services, unrelated to the CASA ratio question."
16,What is Bank of Baroda's net interest margin (NIM) for the latest reported period?,"**1. Starting and Ending Entity:** 
* Starting Entity: Bank of Baroda
* Ending Entity: ICRA (Credit Rating Agency) / Various financial metrics for Q1 FY27

**2 & 3. Simple Business/Financial Summary & Numerical Facts:** 
Bank of Baroda is a public sector universal bank whose debt instruments are rated by ICRA, including an AA+ Stable rating for its AT-1 bonds and an AAA rating for its ₹10,000 crore green infrastructure bond programme. In Q1 FY27, the bank reported global deposits of ₹16,33,559 crore (up 13.8%) and a net profit of ₹1,278 crore—which fell 72% year-on-year due to a one-off legal settlement—alongside a standalone capital adequacy ratio of 16.30%.

**4 & 5. Constraints Check:** 
The summary accurately reflects the provided knowledge graph relationships and numerical data within 3 sentences without inventing external facts.",Not relevant,Does not mention NIM; focuses on credit ratings and other financial metrics.
17,What are Bank of Baroda's gross NPA and net NPA ratios?,"1. **Starting and Ending Entities:** The starting entity is **Bank of Baroda**, and the ending entities are its various financial metrics, funding instruments, and operational risk factors evaluated during **Q1 FY27**.

2. **Simple Business/Financial Explanation:** Bank of Baroda is a public sector universal bank that manages its funding through a mix of low-cost CASA balances, term deposits, green infrastructure bonds, and wholesale funding sources like certificates of deposit. During Q1 FY27, the bank experienced a shift toward costlier wholesale funding alongside a slight decline in its CASA ratio, while maintaining strong asset quality with reduced gross and net NPA ratios. 

3. **Important Numerical Facts:** In Q1 FY27, Bank of Baroda's domestic deposits reached ₹13,81,535 crore (up 14.7%) and global deposits hit ₹16,33,559 crore (up 13.8%), while bulk deposits and certificates of deposit grew by 37.0%. The bank's CASA ratio stood at 37.72%, its gross NPA ratio improved to 1.99%, and its net profit fell 72% year-on-year to ₹1,278 crore due to a one-off legal settlement.",Somewhat relevant,Gives the gross NPA ratio numerically but only describes net NPA qualitatively without a figure.
18,"What is Bank of Baroda's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","1. **Starting Entity:** Bank of Baroda; **Ending Entity:** ICRA (Credit Rating Agency).

2. **Explanation of the Path:** Bank of Baroda is evaluated and rated by the credit rating agency ICRA, which provides credit assessments for the bank's financial instruments, such as reaffirming an AA+ Stable rating for its AT-1 bonds and assigning an AAA rating to its green infrastructure bond programme.

3. **Numerical Facts:** The knowledge graph highlights specific financial instruments rated by ICRA, notably Bank of Baroda's ₹10,000 crore green infrastructure bond programme.",Not relevant,"Does not mention CRAR or CET1, discussing bond ratings instead."
