text,formica_label
Which CET1 ratio figures are disclosed by Indian Bank or Dhanlaxmi Bank?,F_LogUnion
Central Bank of India or AU Small Finance Bank -- which one discloses its cost-to-income ratio?,F_LogUnion
What registered head office is recorded for Suryoday Small Finance Bank or Union Bank of India?,F_LogUnion
Does RBL Bank or Ujjivan Small Finance Bank report a higher-quality return on equity?,F_LogUnion
Which slippage ratio figures are disclosed by Kotak Mahindra Bank or Central Bank of India?,F_LogUnion
Which lenders disclose either CET1 ratio or return on assets?,F_LogUnion
Which book value per share figures are disclosed by ESAF Small Finance Bank or Karnataka Bank?,F_LogUnion
Does Utkarsh Small Finance Bank or Jammu & Kashmir Bank report a higher-quality return on equity?,F_LogUnion
Does Union Bank of India or Ujjivan Small Finance Bank report a higher-quality CASA ratio?,F_LogUnion
Which gross NPA ratio figures are disclosed by IDFC FIRST Bank or Utkarsh Small Finance Bank?,F_LogUnion
Is UCO Bank present in India or the United Kingdom?,F_LogUnion
Does Equitas Small Finance Bank or ICICI Bank report a higher-quality total deposits?,F_LogUnion
Which lenders disclose either operating profit or gross NPA ratio?,F_LogUnion
Is Karur Vysya Bank present in the UAE or India?,F_LogUnion
Which CASA ratio figures are disclosed by Karur Vysya Bank or Indian Bank?,F_LogUnion
Which credit-deposit ratio figures are disclosed by Central Bank of India or Bank of Baroda?,F_LogUnion
Which CET1 ratio figures are disclosed by Equitas Small Finance Bank or Bank of Baroda?,F_LogUnion
What ticker symbol is recorded for Ujjivan Small Finance Bank or Karnataka Bank?,F_LogUnion
What listing exchange is recorded for AU Small Finance Bank or CSB Bank?,F_LogUnion
Which slippage ratio figures are disclosed by Kotak Mahindra Bank or Karur Vysya Bank?,F_LogUnion
Which net profit figures are disclosed by Federal Bank or HDFC Bank?,F_LogUnion
State Bank of India or ESAF Small Finance Bank -- which one discloses its net interest margin?,F_LogUnion
Which lenders disclose either book value per share or CASA ratio?,F_LogUnion
What ticker symbol is recorded for Bank of Baroda or Tamilnad Mercantile Bank?,F_LogUnion
Jammu & Kashmir Bank or Federal Bank -- which one discloses its CASA ratio?,F_LogUnion
What ticker symbol is recorded for Jana Small Finance Bank or Federal Bank?,F_LogUnion
Does City Union Bank or Tamilnad Mercantile Bank report a higher-quality net interest margin?,F_LogUnion
Which net NPA ratio figures are disclosed by Jammu & Kashmir Bank or Karur Vysya Bank?,F_LogUnion
Punjab & Sind Bank or State Bank of India -- which one discloses its CASA ratio?,F_LogUnion
Is Indian Bank present in the UAE or India?,F_LogUnion
Which lenders disclose either CASA ratio or earnings per share?,F_LogUnion
What legal name is recorded for Canara Bank or Bank of Baroda?,F_LogUnion
Which total deposits figures are disclosed by Yes Bank or Union Bank of India?,F_LogUnion
Which provision coverage ratio figures are disclosed by City Union Bank or Federal Bank?,F_LogUnion
What auditor is recorded for State Bank of India or Jammu & Kashmir Bank?,F_LogUnion
Central Bank of India or AU Small Finance Bank -- which one discloses its book value per share?,F_LogUnion
Which return on assets figures are disclosed by ESAF Small Finance Bank or CSB Bank?,F_LogUnion
Is Equitas Small Finance Bank present in the United Kingdom or Singapore?,F_LogUnion
What ticker symbol is recorded for Kotak Mahindra Bank or DCB Bank?,F_LogUnion
Does ESAF Small Finance Bank or Axis Bank report a higher-quality CET1 ratio?,F_LogUnion
Is DCB Bank present in the United Kingdom or Bahrain?,F_LogUnion
Which lenders disclose either book value per share or total advances?,F_LogUnion
Does RBL Bank or Bank of Maharashtra report a higher-quality earnings per share?,F_LogUnion
Union Bank of India or Equitas Small Finance Bank -- which one discloses its operating profit?,F_LogUnion
Does Axis Bank or Dhanlaxmi Bank report a higher-quality gross NPA ratio?,F_LogUnion
Canara Bank or Bank of India -- which one discloses its gross NPA ratio?,F_LogUnion
Does Jammu & Kashmir Bank or City Union Bank report a higher-quality operating profit?,F_LogUnion
Is Punjab & Sind Bank present in India or Bahrain?,F_LogUnion
Which lenders disclose either earnings per share or cost-to-income ratio?,F_LogUnion
Does Kotak Mahindra Bank or IDFC FIRST Bank report a higher-quality net NPA ratio?,F_LogUnion
Is Dhanlaxmi Bank present in Hong Kong or India?,F_LogUnion
Bank of Maharashtra or Equitas Small Finance Bank -- which one discloses its credit-deposit ratio?,F_LogUnion
ESAF Small Finance Bank or Suryoday Small Finance Bank -- which one discloses its capital adequacy ratio?,F_LogUnion
Does Bank of Baroda or Punjab National Bank report a higher-quality book value per share?,F_LogUnion
Axis Bank or DCB Bank -- which one discloses its book value per share?,F_LogUnion
Which net profit figures are disclosed by City Union Bank or DCB Bank?,F_LogUnion
What ticker symbol is recorded for Bank of Baroda or HDFC Bank?,F_LogUnion
Which CET1 ratio figures are disclosed by Bank of India or Union Bank of India?,F_LogUnion
Which net NPA ratio figures are disclosed by Federal Bank or Punjab National Bank?,F_LogUnion
Which lenders disclose either CET1 ratio or capital adequacy ratio?,F_LogUnion
Which lenders disclose either total deposits or book value per share?,F_LogUnion
Does AU Small Finance Bank or Jammu & Kashmir Bank report a higher-quality net profit?,F_LogUnion
Is CSB Bank present in Bahrain or Hong Kong?,F_LogUnion
Does RBL Bank or AU Small Finance Bank report a higher-quality net profit?,F_LogUnion
Which lenders disclose either return on assets or CET1 ratio?,F_LogUnion
South Indian Bank or Punjab National Bank -- which one discloses its net profit?,F_LogUnion
HDFC Bank or Dhanlaxmi Bank -- which one discloses its capital adequacy ratio?,F_LogUnion
Is Kotak Mahindra Bank present in Hong Kong or Singapore?,F_LogUnion
Which lenders disclose either provision coverage ratio or operating profit?,F_LogUnion
Which credit-deposit ratio figures are disclosed by Karur Vysya Bank or City Union Bank?,F_LogUnion
What date of incorporation is recorded for Karur Vysya Bank or Utkarsh Small Finance Bank?,F_LogUnion
Is Punjab National Bank present in the UAE or Bahrain?,F_LogUnion
Equitas Small Finance Bank or AU Small Finance Bank -- which one discloses its net interest margin?,F_LogUnion
Which lenders disclose either CET1 ratio or CASA ratio?,F_LogUnion
Which lenders disclose either book value per share or net interest margin?,F_LogUnion
Which credit-deposit ratio figures are disclosed by Union Bank of India or Federal Bank?,F_LogUnion
Which CASA ratio figures are disclosed by Bandhan Bank or Bank of Maharashtra?,F_LogUnion
Which lenders disclose either credit-deposit ratio or book value per share?,F_LogUnion
DCB Bank or Equitas Small Finance Bank -- which one discloses its gross NPA ratio?,F_LogUnion
Does Jammu & Kashmir Bank or CSB Bank report a higher-quality earnings per share?,F_LogUnion
Is Punjab & Sind Bank present in Hong Kong or India?,F_LogUnion
Which lenders disclose either slippage ratio or return on equity?,F_LogUnion
Federal Bank or South Indian Bank -- which one discloses its CET1 ratio?,F_LogUnion
Does IDFC FIRST Bank or Tamilnad Mercantile Bank report a higher-quality net NPA ratio?,F_LogUnion
Does ICICI Bank or ESAF Small Finance Bank report a higher-quality credit-deposit ratio?,F_LogUnion
