id,text,node_type,node_name
E_HORMUZ,"Type: EVENT
Name: Strait of Hormuz disruption
Relationships:
CAUSES: Brent crude price CAUSES: Spot LNG / JKM CAUSES: Saudi LPG contract price CAUSES: Gross refining margin CAUSES: Tanker freight rates CAUSES: Marine war-risk premium CAUSES: Global urea/DAP/sulphur price",EVENT,Strait of Hormuz disruption
E_HORMUZ,"Type: EVENT
Name: Strait of Hormuz disruption
Relationships:
HURT_BY: India AI infrastructure capex cycle",EVENT,Strait of Hormuz disruption
E_AIBUILD,"Type: EVENT
Name: India AI infrastructure capex cycle
Relationships:
CONSTRAINED_BY: Power availability CONSTRAINED_BY: Transmission evacuation capacity CONSTRAINED_BY: Water availability CONSTRAINED_BY: GPU supply CONSTRAINED_BY: Infra-ready land",EVENT,India AI infrastructure capex cycle
G_HORMUZ,"Type: GEOGRAPHY
Name: Strait of Hormuz
Relationships:
",GEOGRAPHY,Strait of Hormuz
G_INDIA,"Type: GEOGRAPHY
Name: India
Relationships:
IMPORTS_VIA: Strait of Hormuz",GEOGRAPHY,India
G_GCC,"Type: GEOGRAPHY
Name: Gulf producers
Relationships:
",GEOGRAPHY,Gulf producers
G_QATAR,"Type: GEOGRAPHY
Name: Qatar
Relationships:
",GEOGRAPHY,Qatar
G_OMAN,"Type: GEOGRAPHY
Name: Oman
Relationships:
",GEOGRAPHY,Oman
G_RUSSIA,"Type: GEOGRAPHY
Name: Russia
Relationships:
",GEOGRAPHY,Russia
G_CAPE,"Type: GEOGRAPHY
Name: Cape of Good Hope reroute
Relationships:
SUBSTITUTES_FOR: Strait of Hormuz",GEOGRAPHY,Cape of Good Hope reroute
G_KERALA,"Type: GEOGRAPHY
Name: Kerala
Relationships:
EXPOSED_TO_ORDERBOOK: Gulf producers",GEOGRAPHY,Kerala
G_ANDHRA,"Type: GEOGRAPHY
Name: Andhra Pradesh
Relationships:
",GEOGRAPHY,Andhra Pradesh
G_GUJARAT,"Type: GEOGRAPHY
Name: Gujarat
Relationships:
",GEOGRAPHY,Gujarat
M_BRENT,"Type: MACRO_VAR
Name: Brent crude price
Relationships:
CAUSES: India CPI CAUSES: Current account deficit",MACRO_VAR,Brent crude price
M_LNG_SPOT,"Type: MACRO_VAR
Name: Spot LNG / JKM
Relationships:
",MACRO_VAR,Spot LNG / JKM
M_LPG_SAUDI_CP,"Type: MACRO_VAR
Name: Saudi LPG contract price
Relationships:
CAUSES: Fertiliser and LPG subsidy bill",MACRO_VAR,Saudi LPG contract price
M_GRM,"Type: MACRO_VAR
Name: Gross refining margin
Relationships:
",MACRO_VAR,Gross refining margin
M_FREIGHT,"Type: MACRO_VAR
Name: Tanker freight rates
Relationships:
",MACRO_VAR,Tanker freight rates
M_WARRISK,"Type: MACRO_VAR
Name: Marine war-risk premium
Relationships:
HURT_BY: India AI infrastructure capex cycle",MACRO_VAR,Marine war-risk premium
M_INR,"Type: MACRO_VAR
Name: USD/INR
Relationships:
CAUSES: India CPI",MACRO_VAR,USD/INR
M_INR,"Type: MACRO_VAR
Name: USD/INR
Relationships:
HURT_BY: Netweb Technologies",MACRO_VAR,USD/INR
M_CPI,"Type: MACRO_VAR
Name: India CPI
Relationships:
CAUSES: RBI policy rate",MACRO_VAR,India CPI
M_CAD,"Type: MACRO_VAR
Name: Current account deficit
Relationships:
CAUSES: USD/INR",MACRO_VAR,Current account deficit
M_REPO,"Type: MACRO_VAR
Name: RBI policy rate
Relationships:
HURT_BY: Anant Raj HURT_BY: Adani Green Energy",MACRO_VAR,RBI policy rate
M_UREA,"Type: MACRO_VAR
Name: Global urea/DAP/sulphur price
Relationships:
CAUSES: Fertiliser and LPG subsidy bill",MACRO_VAR,Global urea/DAP/sulphur price
M_SUBSIDY,"Type: MACRO_VAR
Name: Fertiliser and LPG subsidy bill
Relationships:
",MACRO_VAR,Fertiliser and LPG subsidy bill
RM_CRUDE,"Type: RAW_MATERIAL
Name: Crude oil
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,Crude oil
RM_LNG,"Type: RAW_MATERIAL
Name: LNG
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,LNG
RM_LNG,"Type: RAW_MATERIAL
Name: LNG
Relationships:
SOURCED_FROM: Qatar",RAW_MATERIAL,LNG
RM_LPG,"Type: RAW_MATERIAL
Name: LPG
Relationships:
TRANSITS: Strait of Hormuz",RAW_MATERIAL,LPG
RM_NATGAS,"Type: RAW_MATERIAL
Name: Natural gas
Relationships:
",RAW_MATERIAL,Natural gas
RM_COAL,"Type: RAW_MATERIAL
Name: Coal
Relationships:
SUBSTITUTES_FOR: LNG",RAW_MATERIAL,Coal
RM_NAPHTHA,"Type: RAW_MATERIAL
Name: Naphtha
Relationships:
PRICE_LINKED_TO: Brent crude price",RAW_MATERIAL,Naphtha
