text,formica_label
"Does Jammu & Kashmir Bank have any overseas branches, representative offices, or joint-venture equity stakes, and where?",F_LogUnion
"Which Small Finance Bank has converted, or is closest to converting, to a universal bank license?",F_LogUnion
What are Indian Overseas Bank's gross NPA and net NPA ratios?,F_Simple
What are Utkarsh Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,F_Simple
"Roughly how many branches and ATMs does Union Bank of India operate, and as of what date?",F_QuantCount
"What is Bank of Maharashtra's net interest income for the latest reported quarter, and its year-on-year growth rate?",F_Simple
"What products and services does Tamilnad Mercantile Bank offer, and which customer segments does it serve?",F_Simple
What is the single primary source cited for RBL Bank's most recent financial metrics in this dataset?,F_Simple
What was Ujjivan Small Finance Bank's CASA ratio in the most recently reported quarter?,F_Simple
Which segment has the highest average net interest margin?,F_GroupAggregate
"Compare the CASA ratio of Axis Bank and IDFC First Bank. Which is stronger, and by how much?",F_CompMore
What was Canara Bank's total advances (loan book) and deposit growth in the latest quarter?,F_Simple
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Union Bank of India?",F_Simple
"Across all 39 listed Indian banks in this dataset, which report the lowest branch network size?",F_GlobalRank
What is RBL Bank's ticker symbol and on which exchange(s) does it trade?,F_Simple
"What percentage of Axis Bank is held by its government promoter or largest shareholder, and as of what date?",F_LogUnion
What is the key strength identified for UCO Bank in the current analysis?,F_Simple
"Compare the net interest margin of IndusInd Bank and Yes Bank. Which is stronger, and by how much?",F_CompMore
"Across all 39 listed Indian banks in this dataset, which report the highest CET1 ratio?",F_GlobalRank
What was ESAF Small Finance Bank's CASA ratio in the most recently reported quarter?,F_Simple
What was IDBI Bank's total advances (loan book) and deposit growth in the latest quarter?,F_Simple
What is the biggest threat facing City Union Bank according to the analysis?,F_Simple
"What credit, market, operational or regulatory risks is Ujjivan Small Finance Bank exposed to?",F_LogUnion
What was Bandhan Bank's total advances (loan book) and deposit growth in the latest quarter?,F_Simple
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of UCO Bank?",F_Simple
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of City Union Bank?",F_Simple
Who are Ujjivan Small Finance Bank's main named competitors?,F_Simple
"What is Yes Bank's primary competitive advantage, and how strong is the evidence behind that claim?",F_Simple
"Roughly how many branches and ATMs does Jammu & Kashmir Bank operate, and as of what date?",F_QuantCount
"What credit, market, operational or regulatory risks is South Indian Bank exposed to?",F_LogUnion
"What is AU Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",F_Simple
Which banks are licensed as universal banks versus small finance banks?,F_GlobalRank
What is the main weakness or vulnerability flagged for Suryoday Small Finance Bank?,F_LogUnion
"Compare the return on equity of State Bank of India and Bank of Baroda. Which is stronger, and by how much?",F_CompMore
"What percentage of Dhanlaxmi Bank is held by its government promoter or largest shareholder, and as of what date?",F_LogUnion
What is the main weakness or vulnerability flagged for South Indian Bank?,F_LogUnion
What are ESAF Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,F_Simple
"Roughly how many branches and ATMs does Bank of India operate, and as of what date?",F_QuantCount
"What credit ratings has Tamilnad Mercantile Bank received, and from which rating agencies?",F_Simple
"What credit, market, operational or regulatory risks is Dhanlaxmi Bank exposed to?",F_LogUnion
"What is Equitas Small Finance Bank's cost-to-income ratio, and how does it compare with the average for its segment?",F_CompToGroupAverage
"What products and services does Indian Overseas Bank offer, and which customer segments does it serve?",F_Simple
"What is Suryoday Small Finance Bank's provision coverage ratio, and what does that imply about its NPA cushion?",F_Simple
What are Jammu & Kashmir Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,F_Simple
As of what date is the scope of this dataset defined?,F_Simple
"What is Bandhan Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",F_Simple
