text,label
What is transit exposure of sulphur via UAE?,T_TransitRisk
How does government intervention affect Telecom & Connectivity?,T_RegulatoryImpact
Trace the path from Oman to Federal Bank via marine war-risk premium.,T_CausalChain
Explain hedging strategy of InterGlobe Aviation for bond yields.,T_Hedging
Name beneficiaries in Aviation from oil supply shock.,T_Beneficiary
How does Gulf producers chokepoint impact Indian energy imports?,T_TransitRisk
Stress test Shriram Finance for prolonged geopolitical escalation.,T_EventScenario
How does oil supply shock affect Voltamp Transformers share price?,T_StockImpact
What protects Cochin Shipyard margins from naphtha spikes?,T_Hedging
Which regulations constrain NTPC margins?,T_RegulatoryImpact
How does government intervention affect Shipping & Logistics?,T_RegulatoryImpact
Who are the upside names if crude price rally persists?,T_Beneficiary
List Indian winners from Gulf producers disruption.,T_Beneficiary
Which policy levers matter for Federal Bank in Metals & Mining?,T_RegulatoryImpact
What infrastructure constraints affect Shriram Finance?,T_ConstraintRisk
Which peer has greater tanker freight rates exposure: Shriram Finance or GAIL?,T_CompareExposure
Who funds Asian Paints expansion?,T_InvestmentFlow
What commodities drive Bharat Petroleum cost base?,T_PriceLinkage
How do LPG subsidy rules impact Cholamandalam Investment?,T_RegulatoryImpact
What derivative hedges does Bajaj Finance run on fertiliser subsidy bill?,T_Hedging
Downside scenario for Oil & Gas from tanker freight surge.,T_EventScenario
How does spot LNG price flow into Refining valuations?,T_MacroTransmission
Does Oil India hold stakes in other listed entities?,T_OwnershipStructure
Downside scenario for Metals & Mining from LNG curtailment.,T_EventScenario
How does a shock at Russia propagate to Larsen & Toubro?,T_CausalChain
What capacity bottlenecks slow Chambal Fertilisers rollout?,T_ConstraintRisk
Does Bharat Electronics hold stakes in other listed entities?,T_OwnershipStructure
What happens to Federal Bank when marine war-risk premium rises?,T_MacroTransmission
What if Red Sea disruption lasts six months?,T_EventScenario
How does INR depreciation impact Great Eastern Shipping?,T_MacroTransmission
Stress test Chambal Fertilisers for prolonged LPG import disruption.,T_EventScenario
Who in Fertilisers is most exposed to Oman?,T_SectorExposure
Which group entities sit under Adani Green Energy?,T_OwnershipStructure
How does naphtha price impact Netweb Technologies?,T_PriceLinkage
What if Red Sea closes completely?,T_EventScenario
Does fertiliser subsidy bill weaken ONGC fundamentals?,T_MacroTransmission
What protects SpiceJet margins from carbon black spikes?,T_Hedging
Who benefits from higher USD/INR?,T_Beneficiary
Run a bear case for Adani Ports under marine war-risk spike.,T_EventScenario
Show ownership map for CSB Bank.,T_OwnershipStructure
How does LNG curtailment disrupt base oil supply?,T_SupplyDisruption
Explain the knock-on effect from Gulf producers to INR depreciation.,T_CausalChain
How does oil supply shock disrupt sulphur supply?,T_SupplyDisruption
Stress test GIC Re for prolonged geopolitical escalation.,T_EventScenario
Break down Insurance sensitivity to Singapore GRM.,T_SectorExposure
What if Russia disruption lasts six months?,T_EventScenario
Scenario analysis for marine war-risk spike on Nifty energy.,T_EventScenario
Who wins from marine war-risk spike in Indian markets?,T_Beneficiary
Which insurers benefit from war-risk premium spike?,T_Beneficiary
How does grid evacuation limit Asian Paints?,T_ConstraintRisk
What is the price linkage between ammonia and Federal Bank?,T_PriceLinkage
What is transit exposure of naphtha via Saudi Arabia?,T_TransitRisk
Model escalation scenario for Cape of Good Hope.,T_EventScenario
Which is more exposed: Adani Ports or Reliance Industries?,T_CompareExposure
What procurement risk does tanker freight surge create for Larsen & Toubro?,T_SupplyDisruption
Simulate de-escalation impact on India CPI.,T_EventScenario
Why is Coal India moving on bond yields news?,T_StockImpact
Quantify India's urea dependence on Cape of Good Hope.,T_TransitRisk
Explain how Gulf producers disruption hits Coal India equity.,T_StockImpact
Model escalation scenario for Gulf producers.,T_EventScenario
How does grid evacuation limit Bharat Petroleum?,T_ConstraintRisk
What is the transmission channel from refinery outage to Refining?,T_CausalChain
Who is more hurt by Brent rally: Adani Green Energy or Tata Motors?,T_CompareExposure
What links Oman closure to Aviation stocks?,T_CausalChain
Benchmark Bharat Petroleum against peers on India CPI linkage.,T_CompareExposure
What is the downside for State Bank of India from Strait of Hormuz closure?,T_StockImpact
Who are the upside names if tanker freight surge persists?,T_Beneficiary
Does Chambal Fertilisers have a natural offset to crude price rally?,T_Hedging
What capital flows into Telecom & Connectivity from KKR?,T_InvestmentFlow
Which global funds are buying into Shriram Finance?,T_InvestmentFlow
Does Federal Bank offset current account deficit risk via FX hedges?,T_Hedging
What is the causal chain from crude price rally to marine war-risk premium?,T_CausalChain
Quantify India's LNG dependence on Russia.,T_TransitRisk
Which refiners benefit from tanker freight rates widening?,T_Beneficiary
