text,ground_truth
What is State Bank of India's ticker symbol and on which exchange(s) does it trade?,"SBIN, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of State Bank of India?","The bank's top executive is titled Chairman, not MD & CEO, under the SBI Act; C S Setty has held the role since his appointment was reported in August 2024."
"What percentage of State Bank of India is held by its government promoter or largest shareholder, and as of what date?","The Government of India is SBI's majority owner, holding 55.03% as of 31 March 2026."
What was State Bank of India's CASA ratio in the most recently reported quarter?,39.24% in the June 2026 quarter (Q1 FY27).
What is State Bank of India's net interest margin (NIM) for the latest reported period?,3.00% (domestic).
What are State Bank of India's gross NPA and net NPA ratios?,Gross NPA 1.47% and net NPA 0.38%.
"What is State Bank of India's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy ratio 15.67%. CET1 percentage not stated, other than that it is comfortably above the 8.80% regulatory minimum."
What are State Bank of India's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.11% and return on equity 17.87% for Q1 FY27.
What was State Bank of India's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹60.06 trillion, up 9.73% year-on-year; domestic advances ₹42.76 trillion, up 18.15% year-on-year."
"What credit ratings has State Bank of India received, and from which rating agencies?",Historically in the Moody's Baa2/Baa3 and S&P/Fitch BBB- range on long-term issuer/deposit ratings (older Business Standard archive coverage); no dated 2026 rating action could be confirmed.
"Roughly how many branches and ATMs does State Bank of India operate, and as of what date?","Roughly 22,500 branches and 65,000 ATMs (government public-statement figure via Business Today, not independently re-verified)."
"What products and services does State Bank of India offer, and which customer segments does it serve?","Full retail and corporate banking suite (deposits, home/auto/personal/education/agri/MSME loans, cards), plus wealth management, trade finance, treasury/forex, cash management, investment banking via SBI Caps, and NRI banking, serving retail mass-market, HNI, MSME, large-corporate, government/institutional and NRI customers."
What is Bank of Baroda's ticker symbol and on which exchange(s) does it trade?,"BANKBARODA, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bank of Baroda?",Debadatta Chand is MD & CEO; the current non-executive chairman could not be confirmed.
What was Bank of Baroda's CASA ratio in the most recently reported quarter?,"37.72% in Q1 FY27, down from 38.88% a year earlier."
What is Bank of Baroda's net interest margin (NIM) for the latest reported period?,2.77% globally and 2.93% domestically.
What are Bank of Baroda's gross NPA and net NPA ratios?,Gross NPA 1.99% (down 29 basis points year-on-year) and net NPA 0.50%.
"What is Bank of Baroda's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy 16.30% with CET1 13.90% standalone (consolidated capital adequacy 16.70%, CET1 14.36%); a separate February 2026 AT-1 rating rationale cited CET1 at 12.45%, which does not reconcile with these figures and is left unresolved."
What are Bank of Baroda's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 0.25% as reported or 1.10% excluding a one-off; return on equity 3.89% reported or 16.57% excluding the one-off.
What was Bank of Baroda's total advances (loan book) and deposit growth in the latest quarter?,"Global advances grew 17.4% year-on-year; global deposits ₹16,33,559 crore, up 13.8%; domestic deposits ₹13,81,535 crore, up 14.7%."
"What credit ratings has Bank of Baroda received, and from which rating agencies?",AT-1 bonds reaffirmed ICRA AA+ Stable.
"Roughly how many branches and ATMs does Bank of Baroda operate, and as of what date?","More than 8,400 branches and over 10,000 ATMs as of September 2025, plus 107 international branches/offices across 24 countries and a Zambia joint-venture bank with 16 branches."
"What products and services does Bank of Baroda offer, and which customer segments does it serve?","Standard deposit/loan suite, BOBCARD-issued credit cards, trade finance, forex, treasury, cash management, wealth management and NRI banking, serving retail, MSME, large-corporate, NRI and government customers."
What is Punjab National Bank's ticker symbol and on which exchange(s) does it trade?,"PNB, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Punjab National Bank?",Non-executive chairman K G Ananthakrishnan and MD & CEO Ashok Chandra.
"What percentage of Punjab National Bank is held by its government promoter or largest shareholder, and as of what date?",Government ownership was 70.08% as of 31 March 2026.
What was Punjab National Bank's CASA ratio in the most recently reported quarter?,36.7% of domestic deposits in Q1 FY27.
What is Punjab National Bank's net interest margin (NIM) for the latest reported period?,2.50% globally and 2.64% domestically.
What are Punjab National Bank's gross NPA and net NPA ratios?,Gross NPA more than halved from historical highs to 2.78%; net NPA 0.28%.
"What is Punjab National Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 18.13%; CET1 improved to 14.52% from 10.95% a year earlier.
What are Punjab National Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.04%; return on equity 17.33% annualized.
What was Punjab National Bank's total advances (loan book) and deposit growth in the latest quarter?,"Advances grew 12.7% year-on-year and deposits 8.5%; net interest income growth was muted at 2.1% year-on-year, reaching ₹10,798 crore."
"What credit ratings has Punjab National Bank received, and from which rating agencies?","Fitch upgraded PNB's Viability Rating from bb- to bb and affirmed its Long-Term Issuer Default Rating at BBB- Stable, noting a 3.2% impaired-loan ratio over the prior nine months."
"Roughly how many branches and ATMs does Punjab National Bank operate, and as of what date?","10,324 branches and 11,065 ATMs as of March 2026, plus seven UK branches, branches in Hong Kong/Dubai/Afghanistan, representative offices in Kazakhstan/UAE/China/Norway/Australia, and equity stakes in banks in Bhutan (51%), Nepal (20%) and Kazakhstan (41.64%)."
"What products and services does Punjab National Bank offer, and which customer segments does it serve?","Standard deposit/loan suite plus gold coins and bullion, life/non-life insurance and asset-management distribution, trade finance, treasury, forex and cash management, skewed toward MSME and agriculture in north India."
What is Canara Bank's ticker symbol and on which exchange(s) does it trade?,"CANBK, listed on both the NSE and the BSE."
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Canara Bank?",Brajesh Kumar Singh serves as MD & CEO; the current non-executive chairman could not be confirmed (sources conflicted between Vijay Srirangan and a report that he ceased to hold the role).
"What percentage of Canara Bank is held by its government promoter or largest shareholder, and as of what date?",Government of India ownership was 62.93% as of March 2026.
