id,node_type,node_name
E_HORMUZ,EVENT,Strait of Hormuz disruption
E_HORMUZ,EVENT,Strait of Hormuz disruption
E_AIBUILD,EVENT,India AI infrastructure capex cycle
G_HORMUZ,GEOGRAPHY,Strait of Hormuz
G_INDIA,GEOGRAPHY,India
G_GCC,GEOGRAPHY,Gulf producers
G_QATAR,GEOGRAPHY,Qatar
G_OMAN,GEOGRAPHY,Oman
G_RUSSIA,GEOGRAPHY,Russia
G_CAPE,GEOGRAPHY,Cape of Good Hope reroute
G_KERALA,GEOGRAPHY,Kerala
G_ANDHRA,GEOGRAPHY,Andhra Pradesh
G_GUJARAT,GEOGRAPHY,Gujarat
M_BRENT,MACRO_VAR,Brent crude price
M_LNG_SPOT,MACRO_VAR,Spot LNG / JKM
M_LPG_SAUDI_CP,MACRO_VAR,Saudi LPG contract price
M_GRM,MACRO_VAR,Gross refining margin
M_FREIGHT,MACRO_VAR,Tanker freight rates
M_WARRISK,MACRO_VAR,Marine war-risk premium
M_INR,MACRO_VAR,USD/INR
M_INR,MACRO_VAR,USD/INR
M_CPI,MACRO_VAR,India CPI
M_CAD,MACRO_VAR,Current account deficit
M_REPO,MACRO_VAR,RBI policy rate
M_UREA,MACRO_VAR,Global urea/DAP/sulphur price
M_SUBSIDY,MACRO_VAR,Fertiliser and LPG subsidy bill
RM_CRUDE,RAW_MATERIAL,Crude oil
RM_LNG,RAW_MATERIAL,LNG
RM_LNG,RAW_MATERIAL,LNG
RM_LPG,RAW_MATERIAL,LPG
RM_NATGAS,RAW_MATERIAL,Natural gas
RM_COAL,RAW_MATERIAL,Coal
RM_NAPHTHA,RAW_MATERIAL,Naphtha
RM_PROPYLENE,RAW_MATERIAL,Propylene
RM_BENZENE,RAW_MATERIAL,Benzene
RM_CBFS,RAW_MATERIAL,Carbon black feedstock
RM_CARBONBLACK,RAW_MATERIAL,Carbon black
RM_BASEOIL,RAW_MATERIAL,Base oil
RM_SYNRUBBER,RAW_MATERIAL,Synthetic rubber
RM_NATRUBBER,RAW_MATERIAL,Natural rubber
RM_TIO2,RAW_MATERIAL,Titanium dioxide
RM_SOLVENT,RAW_MATERIAL,Solvents
RM_MONOMER,RAW_MATERIAL,Acrylic monomers
RM_HDPE,RAW_MATERIAL,HDPE/LLDPE/PP resin
RM_PVC,RAW_MATERIAL,PVC resin
RM_PTA_MEG,RAW_MATERIAL,PTA/MEG
RM_VAM,RAW_MATERIAL,Vinyl acetate monomer
RM_LAB,RAW_MATERIAL,Linear alkyl benzene
RM_PETCOKE,RAW_MATERIAL,Petroleum coke
RM_LLP,RAW_MATERIAL,Liquid light paraffin
RM_UREA,RAW_MATERIAL,Urea
RM_UREA,RAW_MATERIAL,Urea
RM_SULPHUR,RAW_MATERIAL,Sulphur
RM_SULPHUR,RAW_MATERIAL,Sulphur
RM_AMMONIA,RAW_MATERIAL,Ammonia
RM_PHOSACID,RAW_MATERIAL,Phosphoric acid
RM_COPPER,RAW_MATERIAL,Copper
RM_ALUMINIUM,RAW_MATERIAL,Aluminium
RM_CRGO_STEEL,RAW_MATERIAL,CRGO electrical steel
