query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,cypher_strategy,kg_row_count,kg_hop_path,summary,error
What is transit exposure of sulphur via UAE?,T_TransitRisk,T_TransitRisk,0.9245491027832031,transit_risk_via_chokepoint,True,"[""sulphur"", ""UAE""]","[{""entity"": ""sulphur"", ""matched_node_name"": ""Sulphur"", ""matched_id"": ""RM_SULPHUR"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""UAE"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.99, ""source"": ""alias""}]",What is transit exposure of <RAW_MATERIAL> via <GEOGRAPHY>?,"{""target_id"": ""G_HORMUZ"", ""commodity_id"": ""RM_SULPHUR"", ""source_geo_id"": ""G_GCC""}",primary,1,"Template: transit_risk_via_chokepoint (T_TransitRisk)
Query intent: Commodities transiting a geography / chokepoint.

Row 1: Sulphur -[TRANSITS]-> Strait of Hormuz",,
How does government intervention affect Telecom & Connectivity?,T_RegulatoryImpact,T_RegulatoryImpact,0.9562411308288574,regulatory_impact,True,"[""Telecom & Connectivity""]","[{""entity"": ""Telecom & Connectivity"", ""matched_node_name"": ""Telecom & Connectivity"", ""matched_id"": ""S_TELECOM"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does government intervention affect <SECTOR>?,"{""entity_id"": ""S_TELECOM""}",,0,,,
Trace the path from Oman to Federal Bank via marine war-risk premium.,T_CausalChain,T_CausalChain,0.9329319596290588,causal_chain_path,True,"[""Oman"", ""Federal Bank"", ""marine war-risk premium""]","[{""entity"": ""Oman"", ""matched_node_name"": ""Oman"", ""matched_id"": ""G_OMAN"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Federal Bank"", ""matched_node_name"": ""Federal Bank"", ""matched_id"": ""C_FEDERALBNK"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""marine war-risk premium"", ""matched_node_name"": ""Marine war-risk premium"", ""matched_id"": ""M_WARRISK"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Trace the path from <GEOGRAPHY> to <COMPANY> via <MACRO_VAR>.,"{""source_id"": ""G_OMAN"", ""target_id"": ""C_FEDERALBNK""}",any_path,1,"Template: causal_chain_path (T_CausalChain)
Query intent: Trace causal transmission between two entities through typed edges.

Path 1: Oman -> Federal Bank (7 hops)
  Oman -[SOURCED_FROM]-> Urea
  Urea -[TRANSITS]-> Strait of Hormuz
  Strait of Hormuz -[TRANSITS]-> Sulphur
  Sulphur -[SOURCED_FROM]-> Gulf producers
  Gulf producers -[EXPOSED_TO_ORDERBOOK]-> Larsen & Toubro
  Larsen & Toubro -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> Federal Bank",,
Explain hedging strategy of InterGlobe Aviation for bond yields.,T_Hedging,T_Hedging,0.9686521291732788,company_hedging_exposure,True,"[""InterGlobe Aviation"", ""bond yields""]","[{""entity"": ""InterGlobe Aviation"", ""matched_node_name"": ""InterGlobe Aviation"", ""matched_id"": ""C_INDIGO"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""bond yields"", ""matched_node_name"": ""RBI policy rate"", ""matched_id"": ""M_REPO"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Explain hedging strategy of <COMPANY> for <MACRO_VAR>.,"{""source_id"": ""C_INDIGO""}",company_hurt_by,2,"Template: company_hedging_exposure (T_Hedging)
Query intent: Natural or financial hedges used by a company.

Row 1: company_name=InterGlobe Aviation | risk_name=Brent crude price | risk_type=MACRO_VAR
Row 2: company_name=InterGlobe Aviation | risk_name=USD/INR | risk_type=MACRO_VAR",,
Name beneficiaries in Aviation from oil supply shock.,T_Beneficiary,T_Beneficiary,0.8817304372787476,companies_benefiting_from_shock,True,"[""Aviation"", ""oil supply shock""]","[{""entity"": ""Aviation"", ""matched_node_name"": ""Aviation"", ""matched_id"": ""S_AVIATION"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""oil supply shock"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Name beneficiaries in <SECTOR> from <EVENT>.,"{""source_id"": ""E_HORMUZ""}",primary,7,"Template: companies_benefiting_from_shock (T_Beneficiary)
Query intent: Companies with positive exposure (BENEFITS_FROM) to a shock or macro variable.

Row 1: id=C_PRAJ | name=Praj Industries | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 2: id=C_MUTHOOT | name=Muthoot Finance | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 3: id=C_MANAPPURAM | name=Manappuram Finance | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 4: id=C_BEL | name=Bharat Electronics | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 5: id=C_SOLARINDS | name=Solar Industries | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 6: id=C_COCHINSHIP | name=Cochin Shipyard | node_type=COMPANY | shock_name=Strait of Hormuz disruption
Row 7: id=C_WAAREE | name=Waaree Energies | node_type=COMPANY | shock_name=Strait of Hormuz disruption",,
How does Gulf producers chokepoint impact Indian energy imports?,T_TransitRisk,T_TransitRisk,0.9545647501945496,transit_risk_via_chokepoint,True,"[""Gulf producers"", ""India""]","[{""entity"": ""Gulf producers"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does <GEOGRAPHY> chokepoint impact <GEOGRAPHY>n energy imports?,"{""target_id"": ""G_HORMUZ"", ""commodity_id"": null, ""source_geo_id"": ""G_GCC""}",primary,6,"Template: transit_risk_via_chokepoint (T_TransitRisk)
Query intent: Commodities transiting a geography / chokepoint.

Row 1: Ammonia -[TRANSITS]-> Strait of Hormuz
Row 2: Crude oil -[TRANSITS]-> Strait of Hormuz [41-53% of India imports]
Row 3: LNG -[TRANSITS]-> Strait of Hormuz [~55%]
Row 4: LPG -[TRANSITS]-> Strait of Hormuz [~88-90%]
Row 5: Sulphur -[TRANSITS]-> Strait of Hormuz
Row 6: Urea -[TRANSITS]-> Strait of Hormuz [~70% of imports]",,
Stress test Shriram Finance for prolonged geopolitical escalation.,T_EventScenario,T_EventScenario,0.9145027995109558,event_scenario_impact,True,"[""Shriram Finance"", ""geopolitical escalation""]","[{""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Stress test <COMPANY> for prolonged <EVENT>.,"{""source_id"": ""E_HORMUZ""}",primary,8,"Template: event_scenario_impact (T_EventScenario)
Query intent: Downstream macro and company impact from an event scenario.

Row 1: event_name=Strait of Hormuz disruption | relationship=HURT_BY | impacted_name=India AI infrastructure capex cycle | impacted_type=EVENT
Row 2: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Brent crude price | impacted_type=MACRO_VAR
Row 3: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Global urea/DAP/sulphur price | impacted_type=MACRO_VAR
Row 4: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Gross refining margin | impacted_type=MACRO_VAR
Row 5: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Marine war-risk premium | impacted_type=MACRO_VAR
Row 6: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Saudi LPG contract price | impacted_type=MACRO_VAR
Row 7: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Spot LNG / JKM | impacted_type=MACRO_VAR
Row 8: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Tanker freight rates | impacted_type=MACRO_VAR",,
How does oil supply shock affect Voltamp Transformers share price?,T_StockImpact,T_PriceLinkage,0.3420642614364624,price_linkage,False,"[""Voltamp Transformers"", ""oil supply shock""]","[{""entity"": ""Voltamp Transformers"", ""matched_node_name"": ""Voltamp Transformers"", ""matched_id"": ""C_VOLTAMP"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""oil supply shock"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <EVENT> affect <COMPANY> share price?,"{""source_id"": ""C_VOLTAMP""}",,0,,,
What protects Cochin Shipyard margins from naphtha spikes?,T_Hedging,T_Hedging,0.9699788689613342,company_hedging_exposure,True,"[""Cochin Shipyard"", ""naphtha""]","[{""entity"": ""Cochin Shipyard"", ""matched_node_name"": ""Cochin Shipyard"", ""matched_id"": ""C_COCHINSHIP"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""naphtha"", ""matched_node_name"": ""Naphtha"", ""matched_id"": ""RM_NAPHTHA"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What protects <COMPANY> margins from <RAW_MATERIAL> spikes?,"{""source_id"": ""C_COCHINSHIP""}",company_exposure,1,"Template: company_hedging_exposure (T_Hedging)
Query intent: Natural or financial hedges used by a company.

Row 1: company_name=Cochin Shipyard | relationship=BENEFITS_FROM | linked_name=Strait of Hormuz disruption | linked_type=EVENT",,
Which regulations constrain NTPC margins?,T_RegulatoryImpact,T_RegulatoryImpact,0.9608152508735657,regulatory_impact,True,"[""NTPC""]","[{""entity"": ""NTPC"", ""matched_node_name"": ""NTPC"", ""matched_id"": ""C_NTPC"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which regulations constrain <COMPANY> margins?,"{""entity_id"": ""C_NTPC""}",,0,,,
